mask wearing,public events,border closure,schools + universities,self-isolation if ill,lockdown,social distancing encouraged
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
1,1,0.0052646197882,0.165595974687,1,0.0052646197882,1
